ensembl_transcript_id,sym,ensembl_peptide_id,Spearman_Correlation,P_Value,Score,Variance,Gene,Importance,Classifier_Importance,P_Value_Corrected,Final_Composite_Score
ENSCGRT00001028122,Lrp8,ENSCGRP00001023876,0.35269840791673573,0.19557217017170705,0.1036293153127667,0.003942857621128879,21580,0.01025754101904795,0.0,0.029643400532706095,0.1123640017849581
ENSCGRT00001021868,Unc79,ENSCGRP00001017624,0.3644921751442214,0.2583224413579234,0.07516773430798948,0.0146773330757748,15972,0.0012884770011147204,0.0,0.024587220908446023,0.11225734158450117
ENSCGRT00001024328,Ddah1,ENSCGRP00001020084,0.3661640885059722,0.2682165351528229,0.07159337158312426,0.08175872435600022,18197,4.955870457529346e-07,0.0,0.023904302991174887,0.11223983030637517
ENSCGRT00001026318,Ift74,ENSCGRP00001022073,0.35196035607235926,0.19204655736290555,0.1056076692128861,0.00177968802918479,19952,0.010145442804662307,0.0,0.029973932695985417,0.11213640507293812
ENSCGRT00001020195,ENSCGRG00001016427,ENSCGRP00001015951,0.3457848202316579,0.16432817133955696,0.12312181401693856,0.012050943543764884,14471,0.014564856968997033,0.0,0.032806048378660344,0.11211375084651237
ENSCGRT00001017894,P3h1,ENSCGRP00001013657,0.3654862857917489,0.26417507953145136,0.0730291804352238,0.0016327364545858833,12432,1.511343050378869e-07,0.0,0.02418016178658541,0.11206395481318997
ENSCGRT00001021117,Fbrsl1,ENSCGRP00001016873,0.3651549155759064,0.26221432106103415,0.07373769760257688,0.0020599209251106645,15298,0.00012389921684523132,0.0,0.024315521946328744,0.11202139159330061
ENSCGRT00001016698,Fads2,ENSCGRP00001012464,0.2589206368333058,0.008544194448290875,0.6043049957189051,0.0071083854676937215,11390,0.07318473595538216,0.0,0.0865261017551219,0.11194345880988768
ENSCGRT00001011625,S100z,ENSCGRP00001007574,0.3645524242743746,0.25867461704742833,0.07503701255178671,0.00980495898190201,7194,1.3649293192675238e-05,0.0,0.02456246702999193,0.11182675123792901
ENSCGRT00001015205,Hsd17b7,ENSCGRP00001010976,0.3631516319983131,0.25057077414560525,0.07811368449626244,0.024374321150788452,10067,0.0006206494226768717,0.0,0.025140792681171403,0.11167679616554797
ENSCGRT00001030585,Ptcd1,ENSCGRP00001026339,0.36369387416969173,0.2536868772160908,0.07691342246209505,0.0024080288502813935,23792,0.00016117097821024835,0.0,0.02491623044137963,0.11165619513741906
ENSCGRT00001027637,Gla,ENSCGRP00001023391,0.3638444969950747,0.25455713615450565,0.07658210385462029,0.003844823850000766,21145,1.2475236327185259e-06,0.0,0.024854007787448725,0.11163918651053874
ENSCGRT00001023460,Rbm34,ENSCGRP00001019216,0.36303113373800666,0.24988188093896896,0.07838201071703421,0.01690096353675121,17417,0.0004680465479468399,0.0,0.02519081468258879,0.11159223788144226
ENSCGRT00001028721,Vil1,ENSCGRP00001024475,0.3547770029070206,0.20575091270054918,0.0981860103277048,0.018121743033746068,22128,0.0062917268900042145,0.0,0.028721540418224206,0.11150735932543007
ENSCGRT00001021020,ENSCGRG00001017012,ENSCGRP00001016776,0.33772649907366964,0.132753645879483,0.14866685470693472,0.006418213534756571,15213,0.01848221683072807,0.0,0.036682871239158706,0.11145501273677158
ENSCGRT00001000120,ENSCGRG00001000104,ENSCGRP00001000095,0.3629859468903918,0.24962388080722317,0.07848278349434845,0.004550993442248055,102,4.2739977202063045e-06,0.0,0.025209584124074806,0.11141823837872711
ENSCGRT00001021291,Rbm10,ENSCGRP00001017047,0.3417029416637798,0.14770410563587758,0.1356697747577896,0.017288929352697286,15454,0.015351200142405822,0.0,0.034743902230071566,0.11135819277198314
ENSCGRT00001021906,Dip2c,ENSCGRP00001017662,0.3620068985254026,0.24407866607689235,0.0806864136208903,0.025050845430039992,16008,7.798124433516068e-08,0.0,0.02561775606815914,0.1111638724578722
ENSCGRT00001025897,ENSCGRG00001020433,ENSCGRP00001021653,0.36173577743971325,0.24255818418947458,0.08130351080342602,0.007278441729038184,19574,7.774294163784927e-05,0.0,0.02573129624262771,0.11112107288574999
ENSCGRT00001026102,Fam219b,ENSCGRP00001021858,0.36036510972872837,0.2349713382363448,0.08446919112204058,0.10107138758645459,19756,0.0007771643624990916,0.0,0.026308686525464246,0.11101240909803962
ENSCGRT00001031878,Itpkb,ENSCGRP00001027630,0.3607416667921857,0.23703902331767712,0.08359183265625222,0.0016052198429623791,24964,0.0004809816064218612,0.0,0.026149499552155474,0.11100579355511891
ENSCGRT00001015065,Gdpgp1,ENSCGRP00001010839,0.3608019159223389,0.23737101944467273,0.08345199574886053,0.03612672032423194,9950,0.000370566085815536,0.0,0.026124069274632157,0.11098267983420032
ENSCGRT00001016958,Zfpl1,ENSCGRP00001012723,0.0,8.442335047532758e-13,8.392608498338374,0.009085262187655645,11613,0.0037901413468926434,0.23639540574996643,0.5051111618004381,0.11093651708894785
ENSCGRT00001024304,Aadacl2,ENSCGRP00001020060,0.360907351900107,0.23795278755806254,0.08320763932772199,0.00804876231569583,18173,1.320403082600032e-05,0.0,0.02607959258562501,0.11088478623938368
ENSCGRT00001020325,Pgpep1,ENSCGRP00001016081,0.36059104396680275,0.23621044129417965,0.08394207675028381,0.03561995751500636,14586,9.168241948890415e-05,0.0,0.026213123073881954,0.11083071434425014
ENSCGRT00001006568,Enpp2,ENSCGRP00001004386,0.3604253588588815,0.23530132356597439,0.08432842197094265,0.018828594187479314,4168,1.5427655095091799e-06,0.0,0.02628318789490967,0.11075646641508374
ENSCGRT00001029662,Cog7,ENSCGRP00001025416,0.36036510972872837,0.2349713382363448,0.08446919112204058,0.0038479157203461147,22958,3.4111243197536314e-05,0.0,0.026308686525464246,0.11075234050628407
