ensembl_transcript_id,sym,ensembl_peptide_id,Gene,Importance
ENSCGRT00001026869,ENSCGRG00001021117,ENSCGRP00001022624,20442,0.0002976235192514354
ENSCGRT00001023668,Cacna1b,ENSCGRP00001019424,17607,0.0002941693272015593
ENSCGRT00001021803,Stard10,ENSCGRP00001017559,15917,0.0002937996637551989
ENSCGRT00001019379,ENSCGRG00001015827,ENSCGRP00001015140,13751,0.00029367793327169305
ENSCGRT00001017191,Gpr143,ENSCGRP00001012956,11813,0.0002925198751471201
ENSCGRT00001019260,ENSCGRG00001015731,ENSCGRP00001015021,13645,0.0002918655419500752
ENSCGRT00001023150,Pex5l,ENSCGRP00001018906,17130,0.0002908822389416581
ENSCGRT00001000798,Rnf126,ENSCGRP00001000774,715,0.00029019166182802145
ENSCGRT00001016820,Crem,ENSCGRP00001012586,11496,0.00029003758278971367
ENSCGRT00001025273,Arhgef15,ENSCGRP00001021029,19031,0.0002856399731434389
ENSCGRT00001032231,Hivep3,ENSCGRP00001027983,25284,0.0002855003643806992
ENSCGRT00001005270,Ptpn4,ENSCGRP00001003624,3439,0.0002853054901464419
ENSCGRT00001020696,Pfdn5,ENSCGRP00001016452,14919,0.0002846384003263799
ENSCGRT00001000668,Eva1c,ENSCGRP00001000644,592,0.00028451495283700616
ENSCGRT00001018110,ENSCGRG00001014905,ENSCGRP00001013873,12623,0.00028367167468026347
ENSCGRT00001006748,Prdm9,ENSCGRP00001004493,4276,0.00028005957434727345
ENSCGRT00001017434,1700017N19Rik,ENSCGRP00001013197,12033,0.000279541782495525
ENSCGRT00001032512,Card11,ENSCGRP00001028264,25534,0.0002790732761280135
ENSCGRT00001024321,Dusp19,ENSCGRP00001020077,18190,0.00027836160166851484
ENSCGRT00001013387,ENSCGRG00001011348,ENSCGRP00001009201,8559,0.00027591272182585414
ENSCGRT00001001360,Tacr3,ENSCGRP00001001312,1170,0.0002757034905884047
ENSCGRT00001012168,ccdc198,ENSCGRP00001008067,7610,0.000267922380069916
ENSCGRT00001016427,ENSCGRG00001013660,ENSCGRP00001012194,11150,0.0002673026685129357
ENSCGRT00001016459,Mef2d,ENSCGRP00001012226,11181,0.00026701998180942555
ENSCGRT00001022411,Cpa2,ENSCGRP00001018167,16455,0.0002632547607040989
ENSCGRT00001006466,Shisa8,ENSCGRP00001004329,4102,0.00026300940464729693
ENSCGRT00001000099,Cryba1,ENSCGRP00001000075,81,0.00026208245728765746
ENSCGRT00001024077,Syt17,ENSCGRP00001019833,17976,0.00026129690388900043
ENSCGRT00001008931,Cdh9,ENSCGRP00001005769,5489,0.00026059524603943765
ENSCGRT00001016224,Scfd1,ENSCGRP00001011991,10974,0.0002577253440678585
ENSCGRT00001026117,Rmi2,ENSCGRP00001021873,19768,0.0002551704451171658
ENSCGRT00001021231,Trmt11,ENSCGRP00001016987,15404,0.00025513053150349536
ENSCGRT00001027534,Anks6,ENSCGRP00001023288,21049,0.00025478988872879493
ENSCGRT00001025570,Ptger4,ENSCGRP00001021326,19300,0.00025338640259810186
ENSCGRT00001023272,Eya3,ENSCGRP00001019028,17239,0.0002522540846087698
ENSCGRT00001013261,ENSCGRG00001011242,ENSCGRP00001009086,8468,0.00025180037697527613
ENSCGRT00001016197,Chka,ENSCGRP00001011964,10949,0.00025155882700866433
ENSCGRT00001000628,Eif4g2,ENSCGRP00001000604,555,0.0002491469330537537
ENSCGRT00001031779,Dsc2,ENSCGRP00001027532,24876,0.00024873383697921565
ENSCGRT00001018330,Ate1,ENSCGRP00001014093,12817,0.0002483935545165988
ENSCGRT00001026255,Hydin,ENSCGRP00001022011,19891,0.00024778717957860727
ENSCGRT00001014294,Nenf,ENSCGRP00001010074,9304,0.00024585771646011545
ENSCGRT00001025358,Slc19a2,ENSCGRP00001021114,19106,0.00024268987170090122
ENSCGRT00001020435,Prr12,ENSCGRP00001016191,14685,0.0002413426158885649
ENSCGRT00001025298,ENSCGRG00001020011,ENSCGRP00001021054,19055,0.00024117673278340653
ENSCGRT00001018490,Rad17,ENSCGRP00001014253,12954,0.00024054031752374888
ENSCGRT00001014137,Gp1bb,ENSCGRP00001009918,9176,0.0002386590083053759
ENSCGRT00001028877,Pou2f1,ENSCGRP00001024631,22268,0.0002382228236701486
ENSCGRT00001000089,ENSCGRG00001000088,ENSCGRP00001000065,72,0.0002373396348797964
ENSCGRT00001027690,Fgf7,ENSCGRP00001023444,21189,0.00023730906328764013
ENSCGRT00001028210,Cntnap2,ENSCGRP00001023964,21656,0.00023716297524120264
ENSCGRT00001024869,Bub1b,ENSCGRP00001020625,18679,0.00023598268587328488
ENSCGRT00001012706,ENSCGRG00001010818,ENSCGRP00001008577,8034,0.0002358026938618961
ENSCGRT00001000496,Tm2d3,ENSCGRP00001000472,434,0.00023488988791032752
ENSCGRT00001027912,Ldlrad4,ENSCGRP00001023666,21394,0.0002334652176444723
ENSCGRT00001026411,Hmg20a,ENSCGRP00001022167,20027,0.00023192795690140804
ENSCGRT00001022398,Pip4p1,ENSCGRP00001018154,16446,0.00022818538926489492
ENSCGRT00001019448,ENSCGRG00001015872,ENSCGRP00001015208,13816,0.0002257850192733558
ENSCGRT00001001435,Ano3,ENSCGRP00001001365,1219,0.00022382048612936217
ENSCGRT00001029644,Pax5,ENSCGRP00001025398,22942,0.00022350650321642914
ENSCGRT00001017214,Stard4,ENSCGRP00001012978,11835,0.00022345713346573197
ENSCGRT00001010803,U6-ENSCGRG00001009312,non-coding,6555,0.00022227276806140517
ENSCGRT00001023022,Nfib,ENSCGRP00001018778,17016,0.00022071679866112742
ENSCGRT00001025610,Phka1,ENSCGRP00001021366,19339,0.00022009171341292265
ENSCGRT00001009974,Pitpnb,ENSCGRP00001006358,6067,0.00021994656354726725
ENSCGRT00001028122,Lrp8,ENSCGRP00001023876,21580,0.00021982413948550648
ENSCGRT00001026318,Ift74,ENSCGRP00001022073,19952,0.000217421820675276
ENSCGRT00001006542,Atf6,ENSCGRP00001004371,4153,0.0002157314214725128
ENSCGRT00001018908,ENSCGRG00001015486,ENSCGRP00001014670,13326,0.0002138173647072852
ENSCGRT00001010770,ENSCGRG00001009280,ENSCGRP00001006823,6534,0.00021259562301743817
ENSCGRT00001026290,Rogdi,ENSCGRP00001022045,19925,0.0002116566535900399
ENSCGRT00001026057,Samm50,ENSCGRP00001021813,19719,0.00021099761807414515
ENSCGRT00001029707,Cops3,ENSCGRP00001025461,23000,0.00021092903221583373
ENSCGRT00001029127,ENSCGRG00001022640,ENSCGRP00001024881,22495,0.0002105248923414634
ENSCGRT00001015292,ENSCGRG00001012806,ENSCGRP00001011063,10147,0.0002099059729282057
ENSCGRT00001024098,Tceanc2,ENSCGRP00001019854,17994,0.000209089695382166
ENSCGRT00001019408,Hamp,ENSCGRP00001015169,13778,0.00020872834344032938
ENSCGRT00001026534,Bcat2,ENSCGRP00001022289,20134,0.0002074533855614488
ENSCGRT00001004298,ENSCGRG00001003587,ENSCGRP00001003059,2880,0.00020725797381430954
ENSCGRT00001021257,Grik1,ENSCGRP00001017013,15426,0.00020720676703441722
ENSCGRT00001032570,Pcp4l1,ENSCGRP00001028322,25587,0.00020717228446209566
ENSCGRT00001018701,Aifm1,ENSCGRP00001014464,13137,0.00020691913329029914
ENSCGRT00001011152,Gspt1,ENSCGRP00001007140,6834,0.00020082578028460005
ENSCGRT00001000782,ENSCGRG00001000601,ENSCGRP00001000758,702,0.00019953008192363366
ENSCGRT00001013025,Glt8d2,ENSCGRP00001008871,8287,0.0001993183197407097
ENSCGRT00001023882,Golim4,ENSCGRP00001019638,17796,0.0001937994984880168
ENSCGRT00001031238,Siah2,ENSCGRP00001026991,24381,0.00019374750046275083
ENSCGRT00001015737,Tead1,ENSCGRP00001011505,10538,0.00019325817943312024
ENSCGRT00001020327,ENSCGRG00001016519,ENSCGRP00001016083,14588,0.000193010996115716
ENSCGRT00001022016,Dph1,ENSCGRP00001017772,16105,0.00019252606849543742
ENSCGRT00001024371,Fgf2,ENSCGRP00001020127,18240,0.00019152328949289068
ENSCGRT00001018107,Irag1,ENSCGRP00001013870,12620,0.00019046269482339014
ENSCGRT00001028670,Elp5,ENSCGRP00001024424,22082,0.00019007153874268286
ENSCGRT00001010814,ENSCGRG00001009325,ENSCGRP00001006850,6561,0.0001896639306174277
ENSCGRT00001024580,Arl6ip1,ENSCGRP00001020336,18428,0.00018885000527212248
ENSCGRT00001025925,Gars,ENSCGRP00001021681,19596,0.00018339231198637065
ENSCGRT00001029885,Stn1,ENSCGRP00001025639,23158,0.00018261222259771085
